%time Wind Power_wind
132 10.8043801 51479.6643255
133 10.8043801 51488.2357679
134 10.8043801 51501.8064189
135 10.8043801 51506.2598121
136 10.8043801 51497.7684902
137 10.8043801 51485.8977069
138 10.8043801 51482.909602
139 10.8043801 51491.1687992
140 10.8043801 51501.4802482
141 10.8043801 51503.2483538
142 10.8043801 51495.3222019
143 10.8043801 51486.4496299
144 10.8043801 51485.6785847
145 10.8043801 51493.1881148
146 10.8043801 51500.7607815
147 10.8043801 51500.7234459
148 10.8043801 51493.683181
149 10.8043801 51487.2888482
150 10.8043801 51487.9627739
151 10.8043801 51494.4980205
152 10.8043801 51499.8424904
153 10.8043801 51498.6733709
154 10.8043801 51492.6612101
155 10.8043801 51488.2524532
156 10.8043801 51489.7892985
157 10.8043801 51495.2744354
158 10.8043801 51498.8608434
159 10.8043801 51497.0589599
160 10.8043801 51492.0954437
161 10.8043801 51489.2297108
162 10.8043801 51491.2058687
163 10.8043801 51495.6636425
164 10.8043801 51497.9051761
165 10.8043801 51495.8264245
166 10.8043801 51491.8542554
167 10.8043801 51490.1501029
168 10.8043801 51492.2699338
169 10.8043801 51495.7834956
170 10.8043801 51497.0298646
171 10.8043801 51494.9163937
172 10.8043801 51491.8331916
173 10.8043801 51490.9731159
174 10.8043801 51493.0412131
175 10.8043801 51495.7260874
176 10.8043801 51496.2636841
177 10.8043801 51494.2699642
178 10.8043801 51491.9518681
179 10.8043801 51491.6798097
180 10.8043801 51493.5768499
181 10.8043801 51495.561154
182 10.8043801 51495.6174008
183 10.8043801 51493.83247
184 10.8043801 51492.1504097
185 10.8043801 51492.2660727
186 10.8043801 51493.9285385
187 10.8043801 51495.3397128
188 10.8043801 51495.0897465
189 10.8043801 51493.5555676
190 10.8043801 51492.3858403
191 10.8043801 51492.7373885
192 10.8043801 51494.1410849
193 10.8043801 51495.0976031
194 10.8043801 51494.6719777
195 10.8043801 51493.3981235
196 10.8043801 51492.628682
197 10.8043801 51493.1049028
198 10.8043801 51494.2519644
199 10.8043801 51494.8587268
200 10.8043801 51494.3512397
201 10.8043801 51493.3262895
202 10.8043801 51492.8599145
203 10.8043801 51493.3825731
204 10.8043801 51494.2915351
205 10.8043801 51494.6378851
206 10.8043801 51494.1129559
207 10.8043801 51493.3130618
208 10.8043801 51493.0683631
209 10.8043801 51493.5851887
210 10.8043801 51494.2836492
211 10.8043801 51494.4431696
212 10.8043801 51493.9424441
213 10.8043801 51493.3375465
214 10.8043801 51493.248532
215 10.8043801 51493.7270704
216 10.8043801 51494.2464729
217 10.8043801 51494.2779141
218 10.8043801 51493.8259389
219 10.8043801 51493.3840883
220 10.8043801 51493.3988619
221 10.8043801 51493.8212855
222 10.8043801 51494.1933827
223 10.8043801 51494.1422398
224 10.8043801 51493.7511734
225 10.8043801 51493.4413722
226 10.8043801 51493.5203721
227 10.8043801 51493.879238
228 10.8043801 51494.1338498
229 10.8043801 51494.0342415
230 10.8043801 51493.7076434
231 10.8043801 51493.5015688
232 10.8043801 51493.6156336
233 10.8043801 51493.9105227
234 10.8043801 51494.0742568
235 10.8043801 51493.9508679
236 10.8043801 51493.6866564
237 10.8043801 51493.5595633
238 10.8043801 51493.6880202
239 10.8043801 51493.9229552
240 10.8043801 51494.018618
241 10.8043801 51493.8885522
242 10.8043801 51493.6812403
243 10.8043801 51493.6122891
244 10.8043801 51493.7411843
245 10.8043801 51493.922709
246 10.8043801 51493.9691911
247 10.8043801 51493.8436427
248 10.8043801 51493.685971
249 10.8043801 51493.6581724
250 10.8043801 51493.7787084
251 10.8043801 51493.9145127
252 10.8043801 51493.9269784
253 10.8043801 51493.8126787
254 10.8043801 51493.6967607
255 10.8043801 51493.6966826
256 10.8043801 51493.8038916
257 10.8043801 51493.9018701
258 10.8043801 51493.8921265
259 10.8043801 51493.7925516
260 10.8043801 51493.7106347
261 10.8043801 51493.7279801
262 10.8043801 51493.8196333
263 10.8043801 51493.8872806
264 10.8043801 51493.8642345
265 10.8043801 51493.7805823
266 10.8043801 51493.7255174
267 10.8043801 51493.7526489
268 10.8043801 51493.8283879
269 10.8043801 51493.872445
270 10.8043801 51493.8425841
271 10.8043801 51493.7745406
272 10.8043801 51493.7400369
273 10.8043801 51493.7715001
274 10.8043801 51493.8321657
275 10.8043801 51493.8584486
276 10.8043801 51493.826306
277 10.8043801 51493.7726283
278 10.8043801 51493.7533557
279 10.8043801 51493.785433
280 10.8043801 51493.8325634
281 10.8043801 51493.8459171
282 10.8043801 51493.8144939
283 10.8043801 51493.7734388
284 10.8043801 51493.7650277
285 10.8043801 51493.7953421
286 10.8043801 51493.8308104
287 10.8043801 51493.8351456
288 10.8043801 51493.8062795
289 10.8043801 51493.775906
290 10.8043801 51493.7748831
291 10.8043801 51493.802059
292 10.8043801 51493.8278235
293 10.8043801 51493.8262015
294 10.8043801 51493.8008758
295 10.8043801 51493.7792487
296 10.8043801 51493.7829368
297 10.8043801 51493.8063202
298 10.8043801 51493.8242614
299 10.8043801 51493.8190049
300 10.8043801 51493.7976003
301 10.8043801 51493.7829178
302 10.8043801 51493.7893189
303 10.8043801 51493.8087529
304 10.8043801 51493.8205765
305 10.8043801 51493.8133883
306 10.8043801 51493.7958814
307 10.8043801 51493.7865461
308 10.8043801 51493.7942232
309 10.8043801 51493.8098737
310 10.8043801 51493.8170612
311 10.8043801 51493.8091408
312 10.8043801 51493.7952557
313 10.8043801 51493.7899058
314 10.8043801 51493.7978703
315 10.8043801 51493.8100951
316 10.8043801 51493.813888
317 10.8043801 51493.8060381
318 10.8043801 51493.795359
319 10.8043801 51493.7928715
320 10.8043801 51493.8004832
321 10.8043801 51493.8097365
322 10.8043801 51493.8111424
323 10.8043801 51493.8038625
324 10.8043801 51493.7959133
325 10.8043801 51493.7953911
326 10.8043801 51493.8022712
327 10.8043801 51493.8090375
328 10.8043801 51493.8088493
329 10.8043801 51493.8024153
330 10.8043801 51493.7967139
331 10.8043801 51493.7974616
332 10.8043801 51493.8034211
333 10.8043801 51493.8081714
334 10.8043801 51493.8069941
335 10.8043801 51493.8015227
336 10.8043801 51493.7976156
337 10.8043801 51493.7991112
338 10.8043801 51493.804093
339 10.8043801 51493.8072583
340 10.8043801 51493.8055385
341 10.8043801 51493.8010384
342 10.8043801 51493.7985205
343 10.8043801 51493.8003858
344 10.8043801 51493.8044195
345 10.8043801 51493.8063769
346 10.8043801 51493.8044314
347 10.8043801 51493.8008431
348 10.8043801 51493.7993667
349 10.8043801 51493.8013394
350 10.8043801 51493.8045072
351 10.8043801 51493.8055745
352 10.8043801 51493.8036174
353 10.8043801 51493.8008424
354 10.8043801 51493.8001194
355 10.8043801 51493.8020274
356 10.8043801 51493.8044389
357 10.8043801 51493.8048754
358 10.8043801 51493.8030421
359 10.8043801 51493.8009641
360 10.8043801 51493.8007629
361 10.8043801 51493.8025024
362 10.8043801 51493.8042772
363 10.8043801 51493.804288
364 10.8043801 51493.8026554
365 10.8043801 51493.8011545
366 10.8043801 51493.8012947
367 10.8043801 51493.8028118
368 10.8043801 51493.8040676
369 10.8043801 51493.8038103
370 10.8043801 51493.8024131
371 10.8043801 51493.8013754
372 10.8043801 51493.8017207
373 10.8043801 51493.8029964
374 10.8043801 51493.8038419
375 10.8043801 51493.8034334
376 10.8043801 51493.8022778
377 10.8043801 51493.8016005
378 10.8043801 51493.8020516
379 10.8043801 51493.8030902
380 10.8043801 51493.8036213
381 10.8043801 51493.8031451
382 10.8043801 51493.8022187
383 10.8043801 51493.8018134
384 10.8043801 51493.8023006
385 10.8043801 51493.8031207
386 10.8043801 51493.8034187
387 10.8043801 51493.8029318
388 10.8043801 51493.8022114
389 10.8043801 51493.8020042
390 10.8043801 51493.8024816
391 10.8043801 51493.8031094
392 10.8043801 51493.8032409
393 10.8043801 51493.8027799
394 10.8043801 51493.8022373
395 10.8043801 51493.8021683
396 10.8043801 51493.8026075
397 10.8043801 51493.8030725
398 10.8043801 51493.8030906
399 10.8043801 51493.8026768
400 10.8043801 51493.8022822
401 10.8043801 51493.8023048
402 10.8043801 51493.8026906
403 10.8043801 51493.803022
404 10.8043801 51493.8029677
405 10.8043801 51493.8026113
406 10.8043801 51493.8023361
407 10.8043801 51493.8024147
408 10.8043801 51493.8027411
409 10.8043801 51493.8029664
410 10.8043801 51493.8028702
411 10.8043801 51493.8025737
412 10.8043801 51493.802392
413 10.8043801 51493.8025005
414 10.8043801 51493.8027677
415 10.8043801 51493.8029113
416 10.8043801 51493.8027952
417 10.8043801 51493.8025562
418 10.8043801 51493.8024455
419 10.8043801 51493.8025655
420 10.8043801 51493.8027776
421 10.8043801 51493.8028602
422 10.8043801 51493.8027394
423 10.8043801 51493.8025525
424 10.8043801 51493.8024938
425 10.8043801 51493.802613
426 10.8043801 51493.8027763
427 10.8043801 51493.802815
428 10.8043801 51493.8026993
429 10.8043801 51493.8025578
430 10.8043801 51493.8025356
431 10.8043801 51493.8026464
432 10.8043801 51493.802768
433 10.8043801 51493.8027766
434 10.8043801 51493.8026719
435 10.8043801 51493.8025683
436 10.8043801 51493.8025706
437 10.8043801 51493.8026686
438 10.8043801 51493.8027559
439 10.8043801 51493.802745
440 10.8043801 51493.8026542
441 10.8043801 51493.8025814
442 10.8043801 51493.8025989
443 10.8043801 51493.8026823
444 10.8043801 51493.8027423
445 10.8043801 51493.8027198
446 10.8043801 51493.8026438
447 10.8043801 51493.8025952
448 10.8043801 51493.8026212
449 10.8043801 51493.8026898
450 10.8043801 51493.8027285
451 10.8043801 51493.8027003
452 10.8043801 51493.8026388
453 10.8043801 51493.8026086
454 10.8043801 51493.8026381
455 10.8043801 51493.8026929
456 10.8043801 51493.8027157
457 10.8043801 51493.8026858
458 10.8043801 51493.8026374
459 10.8043801 51493.8026208
460 10.8043801 51493.8026505
461 10.8043801 51493.802693
462 10.8043801 51493.8027042
463 10.8043801 51493.8026752
464 10.8043801 51493.8026383
465 10.8043801 51493.8026315
466 10.8043801 51493.8026594
467 10.8043801 51493.8026912
468 10.8043801 51493.8026944
469 10.8043801 51493.8026679
470 10.8043801 51493.8026408
471 10.8043801 51493.8026404
472 10.8043801 51493.8026653
473 10.8043801 51493.8026883
