%time BUY SELL SOC
0 0 0 0.9
10 0 0 0.899744889351
20 0 0 0.899469856125
30 0 0 0.899195368276
40 0 0 0.898919756788
50 0 0 0.898644564488
60 0 0 0.898369571888
70 0 0 0.89809282793
80 0 0 0.897810822608
90 0 0 0.897524419852
100 0 0 0.897245714014
110 0 0 0.896966942318
120 0 0 0.896688537389
130 0 0 0.896408366125
140 0 0 0.896126621263
150 0 0 0.895845603634
160 0 0 0.895564194535
170 0 0 0.895283277817
180 0 0 0.89500292182
190 0 0 0.894721234191
200 0 0 0.894439423779
210 0 0 0.894157818746
220 0 0 0.893875238826
230 0 0 0.893593266222
240 0 0 0.893310408889
250 0 0 0.893029133428
260 0 0 0.892751135753
270 0 0 0.892472634911
280 0 0 0.892196232409
290 0 0 0.891917674573
300 0 0 0.891639772441
310 0 0 0.891357422847
320 0 0 0.891073966935
330 0 0 0.89078128469
340 0 0 0.890482935768
350 0 0 0.890184578024
360 0 0 0.889888097143
370 0 0 0.889592062394
380 0 0 0.889295094389
390 0 0 0.888996831234
400 0 0 0.888697196075
410 0 0 0.888396939392
420 0 0 0.888097731329
430 0 0 0.88779686261
440 0 0 0.887496967833
450 0 0 0.887196137401
460 0 0 0.886906896053
470 0 0 0.886619695554
480 0 0 0.88632560153
490 0 0 0.886026347138
500 0 0 0.885786954892
510 0 0 0.885606360407
520 0 0 0.885425886729
530 0 0 0.885245187756
540 0 0 0.885062984713
550 0 0 0.884876095655
560 0 0 0.884688453751
570 0 0 0.884500683844
580 0 0 0.884311626546
590 0 0 0.884123076925
600 0 0 0.883933948163
610 0 0 0.883739017459
620 0 0 0.883541255477
630 0 0 0.883343515009
640 0 0 0.883063893352
650 0 0 0.882836528842
660 0 0 0.882600927544
670 0 0 0.882348982367
680 0 0 0.8820936935
690 0 0 0.881838476134
700 0 0 0.881574348989
710 0 0 0.881220927907
720 0 0 0.880867051108
730 0 0 0.880511893984
740 0 0 0.880154412044
750 0 0 0.87979328508
760 0 0 0.87943672678
770 0 0 0.878868751032
780 0 0 0.877651954482
790 0 0 0.876443598929
800 0 0 0.875228181312
810 0 0 0.874011963092
820 0 0 0.872790867662
830 0 0 0.871568376252
840 0 0 0.870347545266
850 0 0 0.869130679161
860 0 0 0.867917682649
870 0 0 0.866707128814
880 0 0 0.865499550882
890 0 0 0.864291762745
900 0 0 0.863080350092
910 0 0 0.861867768307
920 0 0 0.860658522673
930 0 0 0.859449015211
940 0 0 0.858367857313
950 0 0 0.858004787089
960 0 0 0.857640039671
970 0 0 0.857274898655
980 0 0 0.856910405584
990 0 0 0.856543723705
1000 0 0 0.856176238823
1010 0 0 0.855803994143
