Small burner (W)	Large burner(W)	Bake(W)	Broil(W)
1280	2336	2778	3040
2	2336	2778	3032
2	2336	2778	3032
2	2336	2778	3032
2	2336	2778	3032
2	2338	2766	3030
2	2338	2766	3030
2	2338	2766	3030
2	2338	2766	3030
2	2338	2766	3030
2	2338	2764	3028
2	2338	2764	3028
2	2338	2764	3028
2	2338	2764	3028
1014	2338	2764	3028
1014	2336	2764	3028
1286	2336	2764	3028
1286	2336	2764	3028
1286	2336	2764	3028
1286	2336	2764	3028
1286	2338	2764	3024
1280	2338	2764	3024
1280	2338	2764	3024
1280	2338	2764	3024
1280	2338	2764	3024
1280	2338	2764	3016
1280	2338	2764	3016
1280	2338	2764	3016
1280	2338	2764	3016
1280	2338	2764	3016
1280	2338	2760	3016
2	2338	2760	3016
2	2338	2760	3016
2	2338	2760	3016
2	2338	2760	3016
2	2338	2760	3016
2	2338	2762	3016
2	2338	2762	3016
2	2338	2762	3016
2	2338	2762	3016
2	2338	2758	3018
2	2338	2758	3018
2	2338	2758	3018
2	2338	2758	3018
1048	2338	2758	3018
1048	2336	3262	40
1286	2336	3262	40
1286	2336	3262	40
1286	2336	3262	40
1286	2336	2774	40
1286	2336	2774	40
1280	2336	2774	40
1280	2336	2774	40
1280	2336	2774	1856
1280	2336	2780	1856
1280	2336	2780	3034
1280	2336	2780	3034
1280	2336	2780	3034
1280	2336	2780	3034
1280	2336	2780	3034
1280	2338	2780	3034
2	2338	2780	3032
2	2338	2780	3032
2	2338	2780	3032
2	2338	2776	3032
2	4	2776	3026
2	4	2776	3026
2	462	2776	3026
2	462	2776	3026
2	2352	2776	3026
2	2352	2776	3024
2	2352	2776	3024
2	2352	2776	3024
638	2352	2776	3024
638	2340	2774	3024
1286	2340	2774	3022
1286	2340	2774	3022
1286	2340	2774	3022
1286	2340	2774	3022
1286	2340	2772	3022
1282	2340	2772	3018
1282	2340	2772	3018
1282	2340	2772	3018
1282	2340	2772	3018
1282	2340	2772	3018
1280	2340	2772	3016
1280	2340	2772	3016
1280	2340	2772	3016
1280	2340	2772	3016
1280	2338	2770	3016
2	2338	2770	3016
2	2338	2770	3016
