Regular (W)	PermPress (W)	Delicates (W)
63.3	17.4	12.4
46.5	7.6	12.4
54.5	7.3	12.3
42.9	7.3	12.3
41.1	64.5	115.9
19.4	66.4	115.9
18.4	15.7	119.8
35.1	9.7	119.8
21.6	7.3	14.1
7.6	7.3	14.1
7.6	7.2	12.5
94.9	7.2	12.5
96.5	7.2	12.4
96.9	7.2	12.4
100.5	7.2	12.4
92.1	7.3	12.4
86.8	7.3	123.2
100.1	7.3	123.2
77.5	53.9	18.3
79.5	55.7	18.3
79.2	46.8	12.5
65	46.1	12.5
67.7	46.6	12.4
68.1	46.7	12.4
50.8	46.9	12.2
47.6	46.9	12.2
82.9	10.9	12.2
106.3	8.3	12.2
86	7.3	90.6
93.5	7.3	90.6
97.6	7.2	12.8
92.4	7.1	12.8
78.9	7.1	12.3
67.8	7.2	12.3
66.3	7.2	12.3
65.8	7.2	12.3
64.4	7.2	15.8
62	7.2	15.8
67.3	7.1	90.7
67.3	7.1	90.7
67.3	7.1	14.2
64.4	7.2	14.2
67.2	7.2	12.4
64.7	7.1	12.4
64	7.1	12.3
63.5	7.1	12.3
63.2	7.1	12.3
63.3	7.2	12.3
58.9	7.2	818
51.9	52.8	818
49.7	46.2	140.1
91.4	46.2	140.1
99.2	46.2	13.4
99.2	46.4	13.4
69.9	46.5	12.4
70.9	46.5	12.4
75.2	19.6	12.4
76.3	7.4	12.4
78.2	7.3	140.3
79.2	7.2	140.3
78.8	7.2	191
77.5	7.2	191
76.2	7.3	30.1
51.5	7.2	30.1
35.2	7.2	12.5
34.2	7.2	12.5
83.9	7.3	12.4
85.7	7.2	12.4
74.9	7.2	12.3
75.1	7.2	12.3
75.1	7.2	280
75.5	7.2	280
75.8	7.2	25.6
76.9	7.1	25.6
76.6	7.2	12.7
76.4	7.1	12.7
75.5	7.3	10.2
70.2	7.2	10.2
22.5	56.3	7.3
19.1	55.1	7.3
21.2	46.7	7.2
68.8	46.7	7.2
67.8	46.5	7.2
64.1	46.8	7.2
64	46.8	7.1
64	46.4	7.1
63.9	18.5	7.1
63.6	7.3	7.1
63	7.3	1295
63.3	7.3	1295
63.4	7.2	250
63.6	7.2	250
144	7.2	9.5
179	7.2	9.5
265	7.2	7.4
294	7.2	7.4
320	7.2	7.3
300	7.2	7.3
300	7.2	7.3
261	7.2	7.3
227	7.2	7.2
207	7.3	7.2
198	7.2	315
161.6	7.1	315
145.5	7.2	310
131.3	7.1	310
131.3	7.2	9
117.5	7.2	9
98.9	57.7	7.5
67	47.8	7.5
63.2	46.8	7.4
105.8	46.7	7.4
135.4	46.8	7.3
144.4	46.7	7.3
155	46.7	7.3
155	46.7	7.3
128.2	46.7	283
128.2	46.6	283
55.6	46.8	206
49	46.9	206
48.5	46.8	12
48.4	46.7	12
48.1	46.8	7.4
48.3	46.9	7.4
17.2	47	7.3
21.1	47	7.3
70	46.9	7.3
63.6	47	7.3
63.6	46.9	7.9
63.5	46.9	7.9
63.1	47.1	292
63.5	47.1	292
62.9	47	142
62.8	47.1	142
63.2	47.1	8
63.3	47	8
63.2	47	7.4
62.9	47.1	7.4
49.1	47.1	7.2
23.7	8.5	7.2
22.8	7.3	7.1
152.3	7.2	7.1
252	7.2	7.1
308	7.2	7.1
302	7.2	272
279	7.1	272
263	7.3	248
253	7.1	248
242	7.1	7.8
242	7.1	7.8
240	7.1	7.3
234	7.2	7.3
237	7.2	7.2
237	7.2	7.2
194	7.1	7.2
186	7.1	7.2
229	7.2	94.7
227	7.2	94.7
207	7.2	298
205	7.1	298
206	7.2	16.3
207	7.2	16.3
207	7.2	7.6
205	7.2	7.6
201	7.4	7.3
203	7.2	7.3
201	7.2	7.2
197	7.2	7.2
168.3	7.3	7.2
164.2	7.2	7.2
160.7	94.6	33.1
160.7	81.8	33.1
200	81.8	293
195	81.9	293
195	76.9	15.1
197	67.8	15.1
192	67.4	7.7
194	59.4	7.7
195	57.5	7.3
199	57.5	7.3
196	61.1	7.3
193	60.2	7.3
194	59	7.2
199	59.2	7.2
149.5	53.1	7.2
159.4	48.4	7.2
159.4	18.3	310
241	50	310
196	50	17.1
195	46.1	17.1
195	35.7	7.5
192	34.8	7.5
190	36.5	7.2
197.3	37.6	7.2
196.5	22.9	7.2
199.1	17.9	7.2
191.6	21.5	7.2
196.4	18.3	7.2
174.8	17.2	355
156.2	19.3	355
160.6	14.5	295
197.2	7.4	295
1013	8.3	13.1
195	99.6	13.1
197	65.7	7.9
197	65.7	7.9
191	80.5	7.3
195.4	69.3	7.3
195.8	57.3	7.2
195.6	66	7.2
196.1	57.5	7.2
196.4	72.8	7.2
194.9	74.3	7.2
194.9	63.7	7.2
199.1	58.4	270
194.1	59	270
194	60.8	10.4
194	57.6	10.4
194	48.7	7.4
195	48	7.4
194	18.3	7.3
193	33.3	7.3
192	45.9	7.3
193	39.6	7.3
193	26.5	7.2
192	31.8	7.2
189	19.5	356
197.4	20.7	356
191.1	21.9	251
199.3	19.3	251
194.7	23.5	9.2
194.7	19.8	9.2
197	19.1	7.5
196	18.4	7.5
197	18.6	7.2
199	11.3	7.2
198	7.3	7.2
200	102.2	7.2
199	67.9	10.7
198	67.9	10.7
197	88.5	268
199	70.6	268
197	56.5	127
194	56.5	127
204	66.5	8
199	69.3	8
194	61.5	7.5
201	60.4	7.5
206	60.4	7.3
204	61.4	7.3
197	57.8	7.2
199	48.2	7.2
199	42.2	44.8
208	45.8	44.8
202	45.7	320
198	42	320
196	26.5	271
202	19.6	271
196	18.5	8.1
196	27.7	8.1
209	23.8	7.3
205	26.1	7.3
206	21.5	7.2
206	19.9	7.2
206	19.8	7.2
206	18.6	7.2
206	19.5	130.1
207	8.7	130.1
204	7.4	329
204	7.3	329
213	104.8	132
207	66	132
204	71.7	7.7
204	73.2	7.7
213	73.9	7.4
203	91.3	7.4
204	74.4	7.3
215	88.5	7.3
213	98.9	7.1
210	94.4	7.1
209	92.6	7.3
211	62.3	7.3
216	63.8	286
215	65.5	286
210	64.8	22.8
213	62.3	22.8
215	54.3	7.8
222	47.8	7.8
220	41.3	7.4
220	42.3	7.4
97	37.8	7.3
50.2	29.6	7.3
49	34.2	7.3
48.9	53.1	7.3
48.9	58.4	145.1
48.7	36	145.1
48.7	28.4	322
48.6	28.1	322
48.6	41.5	17
48.7	26.5	17
48.5	22.8	7.8
48.5	22.6	7.8
48.5	22.6	7.4
37.2	21.3	7.4
9.5	22.6	7.3
49.3	130	7.3
48.2	197.9	7.2
48.6	197.9	7.2
48.9	308	7.3
48.8	282	7.3
48.7	270	253
48.6	266	253
48.4	255	66
48.5	254	66
48.6	252	7.6
48.6	252	7.6
48.5	254	7.3
48.6	240	7.3
48.5	205	7.2
48.4	199	7.2
48.4	199	7.2
48.4	243	7.2
48.4	237	7.1
48.5	228	7.1
48.3	230	63.5
48.3	230	63.5
48.5	230	70.9
48.5	230	70.9
10	217	70.9
10	219	70.9
7.5	218	70.7
7.5	217	70.7
7.4	183	70.9
7.4	180.4	70.9
7.3	178.7	70.8
7.4	222	70.8
7.3	218	71
7.4	215	71
7.4	214	70.8
7.3	211	70.8
7.3	211	70.8
7.4	209	70.8
7.3	211	70.7
7.4	212	70.7
7.3	209	70.7
7.3	212	70.7
7.3	208	70.6
7.3	173.5	70.6
7.2	170	70.8
7.3	170.2	70.8
7.3	215	70.5
7.3	211	70.5
7.3	207	70.4
11.9	204	70.4
12.4	207	70.3
12.4	207	70.3
12.5	206	70.3
12.5	203	70.3
12.4	204	70.3
12.4	206	70.3
14.2	205	74.4
45.4	205	74.4
35.5	173	51.8
35.5	167.1	51.8
12.9	169.2	49.5
12.5	213	49.5
12.6	206	52.3
12.6	202	52.3
12.6	203	56.5
12.6	205	56.5
12.6	205	47.1
12.6	206	47.1
36.4	202	46.8
31.6	202	46.8
18.8	202	47.7
13.1	205	47.7
13.1	204	47.6
12.6	205	47.6
12.6	205	47.2
12.5	202	47.2
12.6	202	47.4
12.6	204	47.4
90.3	203	47.4
38.7	201	47.4
41.5	203	47.2
17.1	202	47.2
12.7	203	47.1
12.5	201	47.1
12.6	202	7.4
12.6	205	7.4
12.6	204	7.2
12.5	203	7.2
12.6	204	7.1
15	202	7.1
59.3	202	7.1
51.1	203	7.1
15.7	204	7.1
13.6	203	7.1
12.6	202	7.1
12.6	204	7.1
12.6	201	7.1
12.5	201	7.1
12.6	204	7.1
12.5	203	7.1
134.8	202	7.1
60.5	201	7.1
66.9	200	7
15.8	199	7
12.8	203	7.1
12.6	204	7.1
12.6	206	7.1
12.6	202	7.1
12.5	205	17.1
12.5	203	17.1
12.5	203	17.4
162.4	202	17.4
78.1	201	17.3
64.3	202	17.3
13.7	203	17.3
13.7	201	17.3
12.6	200	101.5
12.6	203	101.5
12.5	198	116.6
12.5	202	116.6
12.6	203	12.6
15.7	200	12.6
133.2	200	12.3
99.8	201	12.3
87.9	201	12.4
14.2	202	12.4
12.8	204	166.8
12.7	205	166.8
12.6	202	48.1
12.6	202	48.1
12.6	200	17.5
12.5	201	17.5
121.3	202	17.4
170	204	17.4
100.1	201	17.4
17.2	200	17.4
17.2	198	17.4
12.6	203	17.4
8.2	198	107.4
7.3	200	107.4
7.4	201	15.1
7.3	200	15.1
7.4	201	12.8
7.3	201	12.8
7.3	201	12.3
7.3	200	12.3
7.3	203	12.4
7.3	203	12.4
7.4	198	171
994	198	171
155	138	60.2
163.7	55.4	60.2
143.4	49.7	17.7
112.7	49.4	17.7
141.2	49.4	17.4
149.6	49	17.4
148.3	49.1	17.2
153.5	49	17.2
147.9	49	69.4
147.6	53.2	69.4
135.8	49.1	223
134.7	49.5	223
141.5	49.7	12.9
141.7	49.7	12.9
135.2	49.5	12.4
128.4	49.5	12.4
146.8	49.7	12.3
10.1	50	12.3
7.6	49.9	17.4
7.4	50	17.4
7.4	50.3	233
7.3	50.2	233
7.3	50.1	18.9
7.4	50	18.9
7.1	50.1	17.6
7.2	50.1	17.6
7.2	50.3	17.1
7.2	50.1	17.1
75.4	50	12.3
75.4	50.1	12.3
149.4	50	1197
137.1	50	1197
143.4	27.8	91
137	7.9	91
132.6	7.9	12.9
122.8	7.4	12.9
117.7	7.3	12.4
110.2	7.4	12.4
121.9	7.4	17.3
115.4	7.3	17.3
146.1	7.4	17.3
165.4	7.4	17.3
127	7.3	299
128.6	7.3	299
26.1	7.2	20.1
12.7	7.2	20.1
7.7	7.3	17.6
7.5	7.3	17.6
7.3	7.2	8
7.2	7.3	8
7.2	7.3	7.2
7.3	7.3	7.2
7.2	7.3	7.1
7.2	7.3	7.1
7.5	7.3	7.2
192	7.3	7.2
173.4	7.2	7.1
135.6	11.2	7.1
148.1	12.2	7.1
160.1	12.3	7.1
145.7	12.3	304
140	12.3	304
144.6	12.3	49
157.2	12.4	49
135.1	12.2	7.5
132.6	40.4	7.5
146.9	16.7	7.3
149.4	24.5	7.3
144.5	24.5	7.2
148.7	12.3	7.2
154.3	12.3	7.2
151.5	12.4	7.2
17.4	12.4	466
8.5	12.5	466
7.6	12.5	307
7.5	12.5	307
7.3	52.3	9.5
7.2	30.1	9.5
7.2	24	7.6
7.2	12.8	7.6
7.2	12.4	7.5
7.2	12.4	7.5
208	12.4	7.2
208	12.5	7.2
208	12.4	7.2
147.1	12.4	7.2
145.8	12.4	7.2
141.1	40.8	7.2
148.7	39.3	286
169.8	27.4	286
118	27.4	8.9
129.2	12.5	8.9
143.1	12.4	7.6
143.1	12.4	7.6
133.3	12.4	7.3
135.2	12.3	7.3
117.2	12.3	7.1
131.6	35.7	7.1
151.3	35.7	7.3
67	53.8	7.3
11.7	30.4	341
8.8	12.8	341
7.4	12.6	269
7.3	12.5	269
7.3	12.4	8.2
7.2	12.4	8.2
7.2	12.3	7.5
7.1	12.3	7.5
7.3	39.2	7.2
7.3	32.4	7.2
7.3	32.4	7
179	18.9	7
174.2	13	7
161.3	12.4	7
161.3	12.6	324
180.2	12.4	324
164.6	12.4	174
149.3	12.4	174
160.3	12.4	8
151	100.8	8
149.8	113.8	7.7
167	86.3	7.7
160.3	20.1	7.2
150.5	12.7	7.2
153.8	12.5	7.1
157.8	12.4	7.1
151.6	12.4	38.7
151.6	12.4	38.7
10.3	12.4	368
8	12.4	368
7.7	112.5	81
7.6	123.8	81
7.4	128.3	7.7
7.4	15.8	7.7
7.3	13.4	7.6
7.4	12.6	7.6
7.3	12.4	7.2
7.3	12.4	7.2
274	12.4	7.1
185.1	12.4	7.1
161.4	12.5	7
120.3	127	7
129.4	114.5	373
122	114.5	373
126.3	15.6	25.3
134.3	12.6	25.3
130.2	12.4	17.5
117.6	12.5	17.5
120.3	12.6	7.1
149.8	12.5	7.1
133.8	12.3	7.2
144.2	42.5	7.2
142.2	110.6	7.1
140.1	136.1	7.1
159.2	53.5	7.1
24.3	13.6	7.1
9.1	12.8	325
8.2	12.6	325
7.4	12.5	295
7.5	12.6	295
7.4	12.6	7.6
7.4	12.5	7.6
7.4	8.8	7.2
7.3	7.4	7.2
7.3	7.3	7.1
7.3	7.3	7.1
985	7.3	7.1
174	7.3	7.1
170.8	7.2	7.1
170.3	7.2	7.1
139.8	7.2	328
127.3	117.9	328
112.9	115.3	14.1
121.9	115.3	14.1
119	134	7.9
139.3	129	7.9
130	119.5	7.5
137	109.5	7.5
153.9	106.4	7.3
159.2	13.1	7.3
120.4	8.1	7.2
143.2	7.6	7.2
139.5	7.4	7.2
139.5	7.3	7.2
8.4	7.3	345
7.8	7.2	345
7.6	7.3	15.1
7.6	108	15.1
7.4	136.7	7.6
7.4	141.7	7.6
7.3	141.7	7.3
7.3	119.3	7.3
7.4	112.8	7.2
192.3	105.2	7.2
1125	119	7.3
100.9	9.9	7.3
143.2	7.6	7.3
149	7.4	7.3
134.5	7.3	298
152.4	7.3	298
144.8	7.2	10.8
145.7	7.3	10.8
115.7	7.4	7.6
134.2	148.4	7.6
134.2	116.4	7.3
145.6	111.6	7.3
120.9	119.8	7.3
139.5	132.1	7.3
142.7	143.1	7.2
154.3	124.1	7.2
143.3	24.4	407
20	24.4	407
8.9	7.6	318
7.7	7.4	318
7.5	7.4	9.3
7.5	7.3	9.3
7.5	7.3	7.6
7.5	7.3	7.6
7.4	78.8	7.3
7.4	78.8	7.3
7.3	151.4	7.2
13.5	155.1	7.2
203	117	7.1
164.5	111.3	7.1
134.8	111.3	7.1
157	145.8	7.1
140	47.9	300
158.5	8.5	300
128.8	7.6	8.5
103.7	7.5	8.5
133.4	7.3	7.5
146	7.3	7.5
106.9	7.3	7.3
151	7.3	7.3
151	60.8	7.1
131.9	136.5	7.1
136.4	128.4	7.2
157.5	160.4	7.2
97.3	120.8	7.2
13.8	134.2	7.2
58.8	147.9	210
64.7	122.9	210
67.6	11.5	8.2
74.9	11.5	8.2
75.6	7.6	7.4
75.3	7.4	7.4
75.3	7.3	7.3
75.3	7.3	7.3
75.4	7.3	7.2
75.7	7.4	7.2
75.5	77.6	7.1
75.6	120.9	7.1
75.5	129.5	355
75.5	125	355
75.4	126.3	315
75.4	116.3	315
75.4	116.3	8.5
75.5	118.1	8.5
75.4	15.3	7.3
75.4	7.7	7.3
75.4	7.6	7.3
75.4	7.3	7.3
75.2	7.3	7.1
75.3	7.2	7.1
75.2	7.4	65.3
75.6	8	65.3
58.9	111.4	330
53.6	131.7	330
53.6	116.8	70
49.5	115.4	70
51	120.1	8.2
50.4	124.5	8.2
50.5	128.1	7.4
53.2	120.7	7.4
54.5	12	7.2
55.2	7.7	7.2
57.5	7.5	7.1
50.9	7.4	7.1
50.2	7.3	169.6
50.5	7.3	169.6
50.4	7.2	337
50.4	7.3	337
50.2	105.4	34.1
50.1	148.8	34.1
50.1	136.6	7.6
49.8	118.9	7.6
49.9	116.2	7.3
50.3	109.2	7.3
48.8	128.7	7.3
48.7	42.3	7.3
49.2	10.2	7.2
49.5	7.4	7.2
31.5	7.3	7
13.5	7.3	7
7.4	7.3	61.5
7.4	7.2	61.5
7.4	7.2	72.4
7.3	75.7	72.4
7.3	132.5	72.7
7.3	123.2	72.7
7.2	119.6	72.8
7.2	121.1	72.8
7.2	122	72.7
7.2	144.8	72.7
7.2	127.6	72.7
7.3	21.8	72.7
7.2	11.5	72.6
7.1	7.4	72.6
7.2	7.4	72.5
7.2	7.3	72.5
7.2	7.3	72.4
7.2	7.3	72.4
7.1	7.2	72.5
7.2	90.5	72.5
7.2	121.3	72.5
7.2	127.2	72.5
7.5	128.7	72.5
7.2	134.4	72.5
7.2	126.8	72.6
7.3	126.8	72.6
7.2	132.3	72.3
7.1	16.3	72.3
47.3	7.7	72.3
133.5	7.6	72.3
141.9	7.2	72.3
119.5	7.2	72.3
116.1	7.1	72.4
116.8	7.2	72.4
116.5	7.2	72.2
123.7	127.2	72.2
93.5	118.9	72.3
67.8	107.4	72.3
67.8	107.4	75.4
80.3	121.6	75.4
63.2	146.7	53.2
69.9	127.9	53.2
49.4	124.9	49.9
53.2	11.2	49.9
95.5	7.8	49.5
95.7	7.4	49.5
130.3	7.2	51.7
130.3	7.3	51.7
95.5	7.2	56.4
76.2	7.2	56.4
95.6	7.4	48
95.6	97.2	48
64.8	112.1	47.2
63.4	130	47.2
83.1	119.7	47.6
50.3	137.8	47.6
49.1	139.5	48.3
84.8	119.4	48.3
104.4	99.6	48
100.8	9.4	48
115.1	9.4	48
83.4	7.4	48
124.6	7.4	47.8
106.4	7.3	47.8
90.4	7.2	47.9
87.6	7.3	47.9
89.8	9.8	47.6
74.1	138.3	47.6
86.7	129.7	6.8
48.7	129.7	6.8
48.9	113	6.9
33.5	114.6	6.9
102.6	140.2	6.8
78.2	130.9	6.8
75	60.3	6.9
56.8	8.7	6.9
62.1	8.7	6.8
44.2	7.4	6.8
46.1	7.3	6.8
35.8	7.3	6.8
34.2	7.3	6.8
22.6	7.3	6.8
20.6	38.8	6.8
19	109.8	6.8
31.7	119.6	6.8
18.5	119.6	6.8
34.7	133.8	6.8
25.8	117.3	6.8
30.3	118.9	6.9
31.4	118.9	6.9
24.6	33.7	6.8
24.2	8.3	6.8
22.9	7.6	6.8
22.3	7.4	6.8
22.3	7.4	6.8
103.6	7.3	6.8
110.9	7.2	199.1
108.1	7.2	199.1
108.1	7.2	97.3
108	127	97.3
87.9	127.8	123.8
72.5	115.4	123.8
74.1	120.8	107.8
77.3	118.2	107.8
76.7	112.4	74.8
78.1	110.8	74.8
78	10	65.3
41.8	7.7	65.3
36.5	7.5	65.5
36.6	7.3	65.5
82.3	7.3	58.8
90.2	7.3	58.8
79.4	7.2	48.3
77.4	7.1	48.3
77.4	7.1	63.6
77.9	66.8	63.6
77.2	61.9	121.4
77.7	73.6	121.4
78.8	75.2	82.1
78.5	76	82.1
78	76	70.7
78.9	76	70.7
48.2	75.9	31.7
37.3	75.9	31.7
23.8	75.9	25.8
50.6	75.9	25.8
67	75.9	18.7
65.2	75.9	18.7
65.2	75.8	19.7
65.9	75.7	19.7
65.2	75.7	59.3
64.4	75.6	59.3
65.4	75.5	155.7
65.8	75.5	155.7
63.9	75.7	138
65.3	75.5	138
64.5	75.3	118.6
44.4	75.5	118.6
23.5	75.4	79.6
117.7	75.5	79.6
117.7	75.5	57.5
117.7	75.6	57.5
341	75.5	76.3
316	75.5	76.3
309	75.9	54.1
310	75.7	54.1
267	75.8	47.2
233	75.6	47.2
214	75.6	155.5
205	75.7	155.5
180.1	75.7	74.9
171	75.7	74.9
126.1	75.7	71.3
107.8	75.6	71.3
98.1	75.7	85.3
131.4	75.3	85.3
140	77.9	55.7
173.2	55.5	55.7
173.2	54.5	75.8
173.2	50.2	75.8
182.6	51	47
156.8	52.9	47
154.5	54.5	111.2
155.7	56.6	111.2
158.7	56.6	160.3
53.6	50.6	160.3
53.6	49.3	104.4
27.9	48.8	104.4
8	49.1	72.1
13.6	49.5	72.1
62.8	50.5	63.6
66.2	50.2	63.6
65.4	49.9	65
66.2	49.7	65
64.3	49.7	64.1
66.1	49.4	64.1
65.8	49.5	62.7
64.3	49.7	62.7
65	49.7	63.4
64.4	49.4	63.4
64.7	49.4	64.1
64.9	49.6	64.1
33.8	49.5	49.7
23.8	11.1	49.7
22.7	7.6	90.7
71.9	7.4	90.7
65.2	7.2	78.3
50	7.1	78.3
49.2	7.2	100.6
49.3	7.1	100.6
94.6	7.1	65
60.7	7.2	65
60.7	7.2	23.6
60.9	6.9	23.6
80.7	7	31.2
85.9	7.2	31.2
80.5	7.1	20.3
50.4	7.2	20.3
58.7	7.1	18.5
24.8	7.2	18.5
68.3	7.2	22.7
67.6	7.1	22.7
74.5	7.2	26.3
50.2	7.1	26.3
50.2	7.2	23.5
50.2	7.1	23.5
75	7.1	22
70.6	8	22
71	7.3	99.5
91.1	7.1	99.5
84.5	7.2	91.7
86.9	7.1	91.7
37.2	7.2	102.4
37.2	55.8	102.4
41.1	88.7	69
93.5	79	69
50.6	85.6	73.7
64.5	81.2	73.7
88.1	82.4	78.5
87.7	120.4	78.5
87.4	101.2	34.8
86.4	91.1	34.8
86.4	57.9	33.9
79.5	87.3	33.9
74.3	64.7	75.9
82.8	63.8	75.9
91.7	63.8	72
53.8	65.6	72
31.6	64.9	74.2
20.6	65	74.2
81.8	52.2	72.8
51	52.2	72.8
49.8	34.5	73.7
104.2	30	73.7
69	42.3	73.1
73.7	42.3	73.1
71.4	35.3	33.9
78.5	39.4	33.9
76.5	40.9	65.6
79	40.9	65.6
69	32.7	61.2
70.5	18.9	61.2
47.5	24.5	62.7
26.6	25.6	62.7
23.7	24.1	61
73.3	21.4	61
75.5	22.6	61.9
73.9	23.6	61.9
71.3	21.4	60.7
53.5	167.1	60.7
48.6	322	26.7
50.3	305	26.7
81.3	305	161.4
81.2	265	161.4
75.8	252	336
86.4	246	336
86.4	243	298
44.6	237	298
37.9	240	255
26.2	244	255
72.6	224	196
81.1	198	196
77	198	158.6
73.7	198	158.6
79.1	240	135.5
73	237	135.5
48.9	233	83.1
50.6	232	83.1
77	232	115.7
77	223	115.7
84.2	218	123.6
82.4	217	123.6
39.8	214	150.8
41.8	216	150.8
38.8	218	150
67.4	214	150
75.8	174.5	131
76.2	170.8	131
69.3	170.8	48.8
65.4	221	48.8
76.1	210	8.4
69.4	210	8.4
50.8	205	25.1
50.3	209	25.1
100.9	209	61.5
80.4	207	61.5
79.5	205	61.1
41.5	206	61.1
43	209	61.7
38.7	207	61.7
90.5	185	61.1
87.5	170.4	61.1
75.9	164.3	61.8
70.7	178.2	61.8
69.8	207	55.4
67.3	205	55.4
69.1	203	22.4
63.4	200	22.4
64.7	203	65.4
67.6	201	65.4
67.1	201	156
68.1	202	156
27.1	203	303
24.5	207	303
23.1	208	266
72.1	203	266
65.6	171.3	240
65.5	177.6	240
123.2	187.2	229
123.2	187.2	229
284	215	192
305	217	192
305	220	214
272	219	214
261	215	244
256	213	244
252	208	219
216	217	219
209	212	212
210	212	212
252	212	209
242	210	209
241	213	203
239	215	203
231	215	196
218	209	196
225	213	163.3
222	213	163.3
224	211	193.6
219	209	193.6
220	213	202
217	210	202
177	210	192
179.2	210	192
177.4	211	195
1139	211	195
221	206	194
216	211	194
212	208	197
217	209	197
216	213	160.6
205	210	160.6
205	210	188.1
209	210	188.1
208	214	195
211	212	195
208	211	198
163.8	211	198
169.2	208	197
169.8	206	197
256	210	191
256	209	191
208	209	195
205	207	195
201	211	192
202	208	192
208	208	161.8
205	210	161.8
204	212	200
207	208	200
204	206	198
204	208	198
170.3	208	191
169.1	211	191
165.3	208	196
1096	204	196
201	210	197.6
200	208	197.6
200	206	193.4
200	209	193.4
199	209	194.8
201	207	194.8
201	207	194.5
201	207	194.5
207	207	194
204	210	194
205	207	195.1
200	210	195.1
201	205	191.8
202	206	191.8
201	207	195.3
204	206	195.3
202	206	195.6
198	205	195.6
201	208	193.8
203	205	193.8
202	205	192.7
205	207	192.7
205	207	195.2
201	208	195.2
201	205	191
201	206	191
203	202	193.3
201	203	193.3
203	203	194.2
202	206	194.2
201	209	192.9
202	205	192.9
203	100	196.1
204	53.5	196.1
206	50.1	194
204	49.6	194
204	49.5	194.6
204	48.2	194.6
207	49.2	194.6
203	49.3	194.6
206	19.3	193.6
208	19.3	193.6
211	51.4	196.8
208	48.8	196.8
203	49.1	193.5
208	49.1	193.5
208	48.8	193.5
203	48.8	193.5
208	49	195.2
208	49.1	195.2
215	49.2	189.6
206	49.2	189.6
209	49.4	196.2
205	49.4	196.2
211	49.3	193
212	49.2	193
204	49	191
204	49.1	191
212	49.1	194.3
213	49.1	194.3
212	49.1	189.3
207	49.1	189.3
213	49.1	192.8
221	49.1	192.8
216	49	193
217	28.8	193
215	7.7	190.2
213	7.3	190.2
213	7.3	192.2
212	7.3	192.2
217	7.2	191.7
221	7.2	191.7
221	7.2	193.8
225	7.1	193.8
223	7.2	190.1
227	7.1	190.1
223	7.1	191.1
226	7.1	191.1
229	7.1	189.9
229	7.1	189.9
232	7.1	190.4
230	7.1	190.4
228	7.1	193.2
228	7.1	193.2
238	7.1	47.8
231	7.1	47.8
226	7	47.1
226	7.1	47.1
238	7.1	46.9
237	7.1	46.9
240	10.9	47
241	12.1	47
241	12.2	46.9
51.3	12.2	46.9
50.8	12.1	9.6
50.5	12.2	9.6
50.5	12.2	6.9
50.3	12.2	6.9
50.2	26.4	6.8
50.3	16.5	6.8
50.2	21.2	6.8
50.3	19.1	6.8
50.1	17.5	18.7
16.9	17.5	18.7
47.7	17.5	9
50.8	17.5	9
50.8	17.4	11.2
51.5	17.5	11.2
51.3	17.4	13
50.6	49.9	13
50.5	49.9	6.8
50.6	27.7	6.8
50.8	14.9	6.8
51.2	12.4	6.8
51.2	12.4	6.6
51	12.3	6.6
50.9	12.3	6.7
51	12.3	6.7
51	12.3	12.2
51.3	12.4	12.2
51.2	58	11.4
51.1	43.7	11.4
51	45.2	16.4
51.1	18.4	16.4
51	17.4	11.4
51	17.3	11.4
51	17.4	7.1
50.6	17.4	7.1
10.7	17.5	6.8
7.5	17.4	6.8
7.5	31.2	6.8
7.3	31.2	6.8
7.3	48.3	6.7
7.4	29.3	6.7
7.4	13.6	10.1
7.3	12.4	10.1
7.4	12.3	16.4
7.3	12.2	16.4
7.3	12.2	12.8
7.3	12.2	12.8
7.3	16.4	14.8
7.3	36.5	14.8
7.3	97.3	6.8
7.3	97.3	6.8
7.4	48.3	6.7
7.3	18.1	6.7
7.3	17.5	6.6
7.2	17.5	6.6
7.3	17.4	6.7
7.3	17.4	6.7
7.4	13.3	12.7
7.4	12.5	12.7
7.3	102.7	13
12.3	86.3	13
12.4	99.5	6.8
12.4	22.3	6.8
12.4	12.8	12.4
12.4	12.4	12.4
12.4	12.3	6.9
12.5	12.2	6.9
12.5	13.7	6.6
29.5	17.2	6.6
38.6	17.4	6.5
35.7	106.5	6.5
35.7	102.5	6.5
17.7	114.4	6.5
17.7	20.6	6.5
17.6	17.8	6.5
17.6	17.6	4.4
17.7	17.5	4.4
17.7	16	3.5
68.8	12.4	3.5
39.9	12.3	3.5
31.7	12.3	3.5
19.4	137.2	3.5
12.6	127.9	3.5
12.5	65.2	0
12.4	25.9	0
12.6	12.6	0
12.5	12.5	0
12.4	16.6	0
12.4	17.2	0
67.5	17.4	0
47.4	17.5	0
46.7	39.4	0
25.3	162.1	0
17.9	162.1	0
17.7	121.3	0
17.6	20.8	0
17.6	17.7	0
17.7	13.2	0
17.6	12.7	0
15.4	12.3	0
107.5	12.4	0
107.5	8	0
48.7	8	0
14.5	7.2	0
12.6	7.2	0
12.5	7.2	0
12.5	7.1	0
12.5	7.2	0
12.5	7.1	0
12.5	7.2	0
18.3	74.4	0
136.3	114.1	0
67.3	144.6	0
67.9	136	0
67.9	134.8	0
17.9	116.1	0
17.6	121.1	0
17.7	147.3	0
17.8	17.1	0
17.7	10.1	0
12.7	7.4	0
13.4	7.2	0
13.4	7.2	0
