Regular (W)	PermPress (W)	Delicates (W)
85.9	97.7	7.8
97	114.8	7.7
97	35.4	7.7
85.2	9.2	7.6
82.6	8.5	7.6
81.4	8.2	141.8
73.5	8.6	141.8
79.2	8.2	267
87.1	8.3	267
81.6	8.3	32.6
76.1	8.3	32.6
89.1	119.8	7.9
90.2	109.2	7.9
100.6	114.9	7.7
99.2	119.9	7.7
58.2	134.8	7.6
11.2	102.5	7.6
7.9	129.1	7.5
7.7	44.2	7.5
7.7	8.9	7.5
7.7	8.6	7.5
7.7	8.3	273
7.6	8.4	273
7.6	8.3	20
7.6	8.4	20
8.3	8.3	8
124.1	24.2	8
112.1	102.2	7.7
83	122.7	7.7
86.2	106.5	7.6
102.3	115.5	7.6
105.6	124.7	7.5
85.4	104	7.5
86.9	107.8	157.9
71.9	15.4	157.9
95.7	8.6	258
95.7	8.4	258
67.6	8.3	14
78.1	8.3	14
82.9	8.3	7.8
90.4	8.3	7.8
93.4	8.8	7.6
94.1	129.9	7.6
28	103.4	7.5
8.3	82.6	7.5
8.3	105	7.5
7.8	120.3	7.5
7.6	123.3	1514
7.7	124.7	1514
7.7	73.5	227
7.7	12.9	227
7.7	9.9	18.4
7.7	8.4	18.4
7.7	8.3	7.7
143	8.3	7.7
91.6	8.3	7.5
75.1	8.2	7.5
76.4	24	7.4
94	123.4	7.4
87.7	118.2	7.4
95.1	106.6	7.4
89.5	115.9	277
90.4	102.1	277
97.6	140.9	256
105.3	109.7	256
90.8	43.6	10
86.4	11.1	10
94.3	8.6	7.7
60.9	8.4	7.7
94	8.4	7.6
90.5	8.3	7.6
17.3	8.3	7.4
8	8.2	7.4
7.7	8.3	7.5
7.9	129.9	7.5
7.6	139.3	328
7.6	103.9	328
7.6	95.6	185
7.6	121.5	185
7.6	87.4	8.6
7.6	109.8	8.6
85.7	109.8	7.7
98.1	9.5	7.7
91	8.3	7.6
88.4	8.3	7.6
70.9	8.3	7.5
76.7	8.3	7.5
70.9	8.2	7.5
74.4	8.3	7.5
86.1	26.5	7.5
78.5	26.5	7.5
90.9	126.4	246
90.9	74.4	246
92.3	121.1	8.7
90.6	116.8	8.7
87.1	96.4	7.8
93.6	101.9	7.8
92.7	14.6	7.6
75.4	9	7.6
12.2	8.5	7.6
12.2	8.3	7.6
7.7	8.3	7.6
7.7	8.3	7.6
7.6	8.2	290
7.5	8.2	290
7.5	119.6	148
7.6	121.8	148
7.5	89.1	8.2
7.5	101.6	8.2
7.5	108.6	7.7
116	99.2	7.7
70.1	135.6	7.7
86.5	74.5	7.7
41.7	12.1	7.6
54.9	8.8	7.6
73	8.5	16.2
82.3	8.4	16.2
94.5	8.3	269
76.4	8.3	269
89	8.2	90
94.6	8.3	90
89.7	126.4	8.6
88.7	95	8.6
83.5	110.4	7.7
94.2	125.1	7.7
96.9	109.7	7.6
42.5	100.1	7.6
10.2	96.2	7.6
7.9	89	7.6
7.6	10	72.8
7.6	8.6	72.8
7.6	8.4	285
7.5	8.2	285
7.5	8.3	48
7.5	8.2	48
7.5	8.3	8.1
10.1	8.3	8.1
169.9	129.6	7.7
87.8	109.1	7.7
66.8	104.4	7.6
84.6	94.3	7.6
77.6	116.5	7.6
80.5	129.8	7.6
78.4	97.1	187.5
92.8	80.2	187.5
92.8	9.3	272
75.5	8.5	272
80.3	8.4	265
68.6	8.3	265
75.5	8.3	7.9
75.4	8.3	7.9
92.3	8.2	7.6
82.7	32.9	7.6
76.8	134.2	7.6
23.1	134.2	7.6
11.8	123	7.5
7.7	116.5	7.5
7.7	108.7	7.7
7.6	95.4	7.7
7.6	82.5	232
7.7	30.4	232
7.6	8.9	17.7
7.5	8.4	17.7
7.6	8.3	7.9
7.6	8.2	7.9
121.5	8.2	7.6
73	8.2	7.6
73.9	8.2	7.5
77	89.5	7.5
65.4	122.3	7.5
68.3	124.4	7.5
69.3	107.4	7.5
72.1	99.4	7.5
83.1	107.8	275
82	143.5	275
81.3	108.2	13.5
81.6	19.2	13.5
83.8	8.6	7.8
79.3	8.4	7.8
90.6	8.3	7.6
77	8.2	7.6
77	8.1	7.6
14.9	8.2	7.6
8.2	8.2	7.6
7.6	8.2	7.6
7.6	99.8	1094
7.6	120.6	1094
7.5	106.1	259
7.5	99.8	259
7.5	117.7	19.2
7.6	115.9	19.2
7.5	83.8	7.8
121.9	13.6	7.8
97.3	8.5	7.6
97.1	8.3	7.6
90.7	8.2	7.5
81.6	8.2	7.5
76.4	8.2	7.5
89.9	8.1	7.5
66.8	11.6	7.5
70.5	138.4	7.5
81.7	138.4	287
101.2	100.3	287
77.8	107.3	10
86	104.7	10
79.7	104.7	7.7
72.8	124.5	7.7
87	57.3	7.6
90.6	11.9	7.6
97.1	8.7	7.6
22.6	8.3	7.6
8.2	8.2	7.5
7.7	8.2	7.5
7.6	8.1	388
7.5	8.1	388
7.5	43.3	238
7.5	107.4	238
7.6	102	8.9
7.5	102	8.9
7.4	119.1	7.7
159.2	112.7	7.7
102.7	104.1	7.6
55	107.6	7.6
55	32	7.6
86.1	10.3	7.6
80	8.4	7.6
94.1	8.3	7.6
86	8.2	264
86	8.2	264
91.1	8.1	226
77.3	8.2	226
94.3	8.2	8.5
77.6	107.5	8.5
87.6	125.6	7.7
82.9	105.6	7.7
78.5	105.6	7.6
78.5	110.3	7.6
95	93.6	7.6
15.2	117.2	7.6
7.9	19.2	7.5
7.7	9.4	7.5
7.6	8.4	295
7.6	8.4	295
7.5	8.3	258
7.5	8.3	258
7.5	8.2	10.9
7.5	8.2	10.9
7.5	95.1	7.8
143.7	95.1	7.8
143.7	95.2	7.6
92.6	128.9	7.6
101.2	93	7.6
90.6	77.4	7.6
95.5	132.6	30.8
91.7	131.9	30.8
84.5	13	289
99.8	9.8	289
102.9	8.3	76
100.1	8.3	76
103	8.3	8.6
88.9	8.2	8.6
108.8	8.1	7.8
114	8.1	7.8
112.4	104.9	7.6
73.6	107.4	7.6
