Regular (kW)	PermPress (kW)	Delicates (kW)
0.51	0.512	0.502
0.51	0.512	0.502
0.51	0.512	0.502
0.51	0.512	0.498
0.512	0.508	0.498
0.512	0.508	0.498
0.512	0.508	0.498
0.512	0.508	0.498
0.512	0.508	0.5
0.516	0.508	0.5
0.516	0.508	0.5
0.516	0.508	0.5
0.516	0.508	0.5
0.516	0.508	0.496
0.514	0.506	0.496
0.514	0.506	0.496
0.514	0.506	0.496
0.514	0.51	0.496
0.514	0.51	0.498
0.514	0.51	0.498
0.514	0.51	0.498
0.514	0.51	0.498
0.514	0.506	0.498
0.514	0.506	0.496
0.514	0.506	0.496
0.514	0.506	0.496
0.514	0.506	0.496
0.514	0.508	0.496
0.514	0.508	0.496
0.51	0.508	0.496
0.51	0.508	0.496
0.51	0.508	0.496
0.51	0.504	0.496
0.51	0.504	0.494
0.514	0.504	0.494
0.514	0.504	0.494
0.514	0.504	0.494
0.514	0.508	0.494
0.514	0.508	0.494
0.506	0.508	0.494
0.506	0.508	0.494
0.506	0.508	0.494
0.506	0.512	0.494
0.506	0.512	0.494
0.51	0.512	0.494
0.51	0.512	0.494
0.51	0.512	0.494
0.51	0.506	0.496
0.51	0.506	0.496
0.516	0.506	0.496
0.516	0.51	0.496
0.516	0.51	0.496
0.516	0.51	0.496
0.516	0.51	0.496
0.516	0.51	0.496
0.516	0.508	0.496
0.516	0.508	0.496
0.516	0.508	0.496
0.516	0.508	0.494
0.52	0.508	0.494
0.52	0.512	0.494
0.52	0.512	0.494
0.52	0.512	0.494
0.52	0.512	0.494
0.51	0.512	0.494
0.51	0.506	0.494
0.51	0.506	0.494
0.51	0.506	0.494
0.51	0.506	0.492
0.51	0.506	0.492
0.51	0.504	0.492
0.51	0.504	0.492
0.51	0.504	0.492
0.51	0.504	0.492
0.514	0.504	0.492
0.514	0.506	0.492
0.514	0.506	0.492
0.514	0.506	0.492
0.514	0.506	0.492
0.512	0.506	0.492
0.512	0.504	0.492
0.512	0.504	0.492
0.512	0.504	0.492
0.512	0.504	0.494
0.514	0.504	0.494
0.514	0.5	0.494
0.514	0.5	0.494
0.514	0.5	0.494
0.514	0.5	0.502
0.51	0.5	0.502
0.51	0.506	0.502
0.51	0.506	0.502
0.51	0.506	0.502
0.51	0.506	0.5
0.508	0.506	0.5
0.508	0.502	0.5
0.508	0.502	0.5
0.508	0.502	0.5
0.508	0.502	0.492
0.508	0.502	0.492
0.508	0.506	0.492
0.508	0.506	0.492
0.508	0.506	0.492
0.508	0.506	0.498
0.506	0.506	0.498
0.506	0.506	0.498
0.506	0.506	0.498
0.506	0.506	0.498
0.506	0.506	0.498
0.506	0.506	0.498
0.506	0.5	0.498
0.506	0.5	0.498
0.506	0.5	0.498
0.506	0.5	0.502
0.51	0.5	0.502
0.51	0.502	0.502
0.51	0.502	0.502
0.51	0.502	0.502
0.51	0.502	0.498
0.512	0.502	0.498
0.512	0.502	0.498
0.512	0.502	0.498
0.512	0.502	0.498
0.512	0.502	0.498
0.512	0.502	0.498
0.512	0.502	0.498
0.512	0.502	0.498
0.512	0.502	0.498
0.512	0.502	0.498
0.516	0.502	0.498
0.516	0.504	0.498
0.516	0.504	0.498
0.516	0.504	0.498
0.516	0.504	0.498
0.512	0.504	0.498
0.512	0.504	0.498
0.512	0.504	0.498
0.512	0.504	0.498
