Regular (kW)	PermPress (kW)	Timed (kW)
2.892	2.984	2.924
2.892	2.984	2.924
2.892	2.984	2.924
2.896	2.984	2.926
2.896	2.984	2.926
2.896	2.976	2.926
2.896	2.976	2.926
2.896	2.976	2.926
2.894	2.976	2.924
2.894	2.976	2.924
2.894	2.984	2.924
2.894	2.984	2.924
2.894	2.984	2.924
2.894	2.984	2.92
2.894	2.984	2.92
2.894	2.984	2.92
2.894	2.984	2.92
2.894	2.984	2.92
2.898	2.984	2.926
2.898	2.984	2.926
2.898	2.988	2.926
2.898	2.988	2.926
2.898	2.988	2.926
2.894	2.988	2.93
2.894	2.988	2.93
2.894	2.992	2.93
2.894	2.992	2.93
2.894	2.992	2.93
2.89	2.992	2.928
2.89	2.992	2.928
2.89	2.986	2.928
2.89	2.986	2.928
2.89	2.986	2.928
2.886	2.986	2.926
2.886	2.986	2.926
2.886	2.98	2.926
2.886	2.98	2.926
2.886	2.98	2.926
2.884	2.98	2.924
2.884	2.98	2.924
2.884	2.972	2.924
2.884	2.972	2.924
2.884	2.972	2.924
2.888	2.972	2.926
2.888	2.972	2.926
2.888	2.98	2.926
2.888	2.98	2.926
2.888	2.98	2.926
2.886	2.98	2.928
2.886	2.98	2.928
2.886	2.982	2.928
2.886	2.982	2.928
2.886	2.982	2.928
2.884	2.982	2.926
2.884	2.982	2.926
2.884	2.984	2.926
2.884	2.984	2.926
2.884	2.984	2.926
2.88	2.984	2.94
2.88	2.984	2.94
2.88	2.976	2.94
2.88	2.976	2.94
2.88	2.976	2.94
2.876	2.976	2.94
2.876	2.976	2.94
2.876	2.976	2.94
2.876	2.976	2.94
2.876	2.976	2.94
2.894	2.976	2.94
2.894	2.976	2.94
2.894	2.976	2.94
2.894	2.976	2.94
2.894	2.976	2.94
2.894	2.976	2.944
2.894	2.976	2.944
2.894	2.974	2.944
2.894	2.974	2.944
2.894	2.974	2.944
2.888	2.974	2.948
2.888	2.974	2.948
2.888	2.976	2.948
2.888	2.976	2.948
2.888	2.976	2.948
2.882	2.976	2.958
2.882	2.976	2.958
2.882	2.982	2.958
2.882	2.982	2.958
2.882	2.982	2.958
2.89	2.982	2.958
2.89	2.982	2.974
2.89	2.974	2.974
2.89	2.974	2.974
2.89	2.974	2.974
2.892	2.974	2.972
2.892	2.974	2.972
2.892	2.978	2.972
2.892	2.978	2.972
2.892	2.978	2.972
2.894	2.978	2.968
2.894	2.978	2.968
2.894	2.974	2.968
2.894	2.974	2.968
2.894	2.974	2.968
2.89	2.974	2.956
2.89	2.974	2.956
2.89	2.974	2.956
2.89	2.974	2.956
2.89	2.974	2.956
2.888	2.974	2.954
2.888	2.974	2.954
2.888	2.974	2.954
2.888	2.974	2.954
2.888	2.974	2.954
2.888	2.974	2.956
2.888	2.974	2.956
2.888	2.974	2.956
2.888	2.974	2.956
2.888	2.974	2.956
2.876	2.974	2.964
2.876	2.974	2.964
2.876	2.938	2.964
2.876	2.938	2.964
2.876	2.938	2.964
2.878	2.938	2.964
2.878	2.938	2.964
2.878	2.95	2.964
2.878	2.95	2.964
2.878	2.95	2.964
2.886	2.95	2.962
2.886	2.95	2.962
2.886	2.946	2.962
2.886	2.946	2.962
2.886	2.946	2.962
2.89	2.946	2.962
2.89	2.946	2.962
2.89	2.964	2.962
2.89	2.964	2.962
2.89	2.964	2.962
2.882	2.964	2.966
2.882	2.964	2.966
2.882	2.962	2.966
2.882	2.962	2.966
2.882	2.962	2.966
2.888	2.962	2.944
2.888	2.962	2.944
2.888	2.96	2.944
2.888	2.96	2.944
2.888	2.96	2.944
2.884	2.96	2.96
2.884	2.96	2.96
2.884	2.964	2.96
2.884	2.964	2.96
2.884	2.964	2.96
2.91	2.964	2.96
2.91	2.964	2.96
2.91	2.96	2.96
2.91	2.96	2.96
2.914	2.96	2.96
2.914	2.96	2.964
2.914	2.96	2.964
2.914	2.962	2.964
2.914	2.962	2.964
2.906	2.962	2.964
2.906	2.962	2.96
2.906	2.962	2.96
2.906	2.958	2.96
2.906	2.958	2.96
2.906	2.958	2.96
2.906	2.958	2.962
2.906	2.958	2.962
2.906	2.958	2.962
2.906	2.958	2.962
2.912	2.958	2.962
2.912	2.958	2.964
2.912	2.996	2.964
2.912	2.996	2.964
2.912	2.996	2.964
2.918	2.996	2.964
2.918	2.996	2.956
2.918	2.99	2.956
2.918	2.99	2.956
2.918	2.99	2.956
2.91	2.99	2.956
