Regular (kW)	PermPress (kW)	Timed (kW)
5.738	3.008	5.754
5.738	3.008	5.752
5.738	3.006	5.752
5.738	3.006	5.752
5.738	3.006	5.752
5.738	3.006	5.752
5.738	3.006	5.744
5.738	3.004	5.744
5.734	3.004	5.744
5.734	3.004	5.744
5.734	3.004	5.744
5.734	3.004	5.744
5.734	2.998	5.744
0.222	2.998	5.744
0.222	2.998	5.744
0.222	2.998	5.744
0.222	2.998	5.74
0.222	2.998	5.74
0.224	2.998	5.74
0.224	2.998	5.74
0.224	2.998	5.74
0.224	2.998	5.742
0.224	2.998	5.742
0.226	2.998	5.742
0.226	2.998	5.742
0.226	2.998	5.742
0.226	2.998	0.278
0.226	2.998	0.278
0.226	2.994	0.278
0.226	2.994	0.278
0.226	2.994	0.278
0.226	2.994	0.28
0.226	2.994	0.28
0.224	2.994	0.28
0.224	2.994	0.28
0.224	2.994	0.28
0.224	2.994	0.282
0.224	2.998	0.282
0.226	2.998	0.282
0.226	2.998	0.282
0.226	2.998	0.282
0.226	2.998	0.282
0.226	2.996	0.282
0.222	2.996	0.282
0.222	2.996	0.282
0.222	2.996	0.282
0.222	2.996	0.276
0.222	2.992	0.276
0.222	2.992	0.276
0.222	2.992	0.276
0.222	2.992	0.276
0.222	2.992	0.28
0.222	0.256	0.28
0.222	0.256	0.28
0.222	0.256	0.28
0.222	0.256	0.28
0.222	0.256	0.282
0.222	0.256	0.282
0.224	0.256	0.282
0.224	0.256	0.282
0.224	0.256	0.282
0.224	0.256	0.278
0.224	0.256	0.278
0.226	0.256	0.278
0.226	0.256	0.278
0.226	0.256	0.278
6.112	0.256	0.276
6.112	0.256	0.276
6.112	0.256	0.276
6.112	0.256	0.276
6.112	0.256	0.276
6.112	0.256	0.276
6.112	0.256	3.916
6.112	0.256	3.916
6.112	0.256	6.006
6.112	0.256	6.006
5.772	0.256	6.006
5.772	0.256	6.006
5.772	0.256	6.006
5.772	0.256	5.818
5.772	0.256	5.818
5.754	0.256	5.818
5.754	0.256	5.818
5.754	0.258	5.818
5.754	0.258	5.768
5.754	0.258	5.768
5.754	0.258	5.768
5.754	0.258	5.768
5.754	0.256	5.768
5.754	0.256	5.752
5.754	0.256	5.752
5.744	0.256	5.752
5.744	0.258	5.752
5.744	0.258	5.752
5.744	0.258	5.748
5.744	0.452	5.748
5.744	0.452	5.748
5.744	3.144	5.748
5.744	3.144	5.748
5.744	3.144	5.748
5.744	3.144	5.748
5.738	3.05	5.748
5.738	3.05	5.748
5.738	3.05	5.748
5.738	3.05	5.742
5.738	3.05	5.742
5.736	3.01	5.742
5.736	3.01	5.742
5.736	3.01	5.742
5.736	3.01	5.742
5.736	3.01	5.742
5.742	3.002	5.742
5.742	3.002	5.742
5.742	3.002	5.742
5.742	3.002	5.744
5.742	3.002	5.744
0.224	3	5.744
0.224	3	5.744
0.224	3	5.744
0.224	3	5.738
0.224	3	5.738
0.224	2.996	5.738
0.224	2.996	5.738
0.228	2.996	5.738
0.228	2.996	0.278
0.228	2.996	0.278
0.228	2.998	0.278
0.228	2.998	0.278
0.226	2.998	0.278
0.226	2.998	0.278
0.226	2.998	0.278
0.226	2.998	0.278
0.226	2.998	0.276
0.226	2.998	0.276
0.226	2.998	0.276
0.226	2.998	0.276
0.226	2.996	0.278
0.226	2.996	0.278
0.228	2.996	0.278
0.228	2.996	0.278
0.228	2.996	0.278
0.228	2.996	0.278
0.228	2.996	0.278
0.228	2.996	0.278
0.228	2.996	0.278
0.228	2.996	0.278
0.228	2.996	0.278
0.228	2.996	0.278
0.228	2.996	0.278
0.228	2.996	0.278
0.228	2.996	0.278
0.228	3	0.276
0.228	3	0.276
0.226	3	0.276
0.226	3	0.276
0.226	3	0.276
0.226	2.998	0.28
0.226	2.998	0.28
0.228	2.998	0.28
0.228	2.998	0.28
0.228	2.998	0.28
0.228	0.47	0.278
0.228	0.47	0.278
0.228	0.47	0.278
0.228	0.47	0.278
0.228	0.47	0.278
0.228	0.272	0.278
0.228	0.272	0.278
3.986	0.272	0.278
3.986	0.272	0.278
5.966	0.272	4.57
5.966	0.272	4.57
5.966	0.272	4.57
5.966	0.272	5.998
5.966	0.272	5.998
5.812	0.272	5.998
5.812	0.272	5.998
5.812	0.272	5.998
5.812	0.272	5.998
5.812	0.272	5.998
5.812	0.272	5.998
5.772	0.272	5.998
5.772	0.272	5.758
5.772	0.272	5.758
5.772	0.272	5.758
5.772	0.272	5.758
5.772	0.272	5.758
5.772	0.272	5.744
5.772	0.272	5.744
5.772	0.272	5.744
5.772	0.272	5.744
5.754	0.272	5.744
5.754	0.272	5.726
5.754	0.272	5.726
5.754	0.272	5.726
5.754	0.272	5.726
5.75	0.272	5.726
5.75	0.272	5.734
5.75	0.272	5.734
5.75	0.272	5.734
5.75	0.272	5.734
5.754	0.272	5.734
5.754	0.272	5.734
5.754	0.272	5.734
5.754	0.272	5.734
5.754	0.272	5.734
5.754	0.272	5.734
5.742	0.272	5.738
5.742	0.272	5.738
5.742	0.272	5.738
5.742	0.272	5.738
5.742	0.272	5.738
5.746	0.272	5.728
5.746	3.156	5.728
5.746	3.156	5.728
5.746	3.156	5.728
5.746	3.156	5.728
0.228	3.156	5.728
0.228	3.044	5.728
0.228	3.044	5.728
0.228	3.044	5.728
0.228	3.044	5.728
0.226	3.044	0.276
0.226	3.008	0.276
0.226	3.008	0.276
0.226	3.008	0.276
0.226	3.008	0.276
0.226	3.008	0.274
0.226	3	0.274
0.226	3	0.274
0.226	3	0.274
0.226	3	0.274
0.228	3	0.276
0.228	3	0.276
0.228	2.998	0.276
0.228	2.998	0.276
0.228	2.998	0.276
0.226	2.998	0.278
0.226	2.996	0.278
0.226	2.996	0.278
0.226	2.996	0.278
0.226	2.996	0.278
0.226	2.996	0.276
0.226	2.998	0.276
0.226	2.998	0.276
0.226	2.998	0.276
0.226	2.998	0.276
0.226	2.998	0.276
0.228	3	0.276
0.228	3	0.276
0.228	3	0.276
0.228	3	0.276
0.228	3	0.276
0.228	2.998	0.276
0.228	2.998	0.276
0.228	2.998	0.276
0.228	2.998	0.276
0.228	2.998	0.28
0.23	3	0.28
0.23	3	0.28
0.23	3	0.28
0.23	3	0.28
0.23	3	0.28
0.228	3	0.28
0.228	0.272	0.28
0.228	0.272	0.28
0.228	0.272	0.28
0.228	0.272	0.276
0.228	0.272	0.276
0.228	0.272	2.23
6.138	0.272	2.23
6.138	0.272	2.23
6.138	0.272	2.23
6.138	0.27	2.23
6.138	0.27	2.23
5.866	0.27	2.23
5.866	0.27	5.806
5.866	0.27	5.806
5.866	0.27	5.806
5.866	0.27	5.806
5.78	0.27	5.806
5.78	0.27	5.74
5.78	0.27	5.74
5.78	0.274	5.74
5.78	0.274	5.74
5.76	0.274	5.74
5.76	0.274	5.726
5.76	0.274	5.726
5.76	0.272	5.726
5.76	0.272	5.726
5.748	0.272	5.726
5.748	0.272	5.724
5.748	0.272	5.724
5.748	0.272	5.724
5.748	0.272	5.724
5.754	0.272	5.724
5.754	0.272	5.724
5.754	0.272	5.724
5.754	0.272	5.724
5.754	0.272	5.724
5.76	0.272	5.724
5.76	0.272	5.716
5.76	0.272	5.716
5.76	0.272	5.716
5.76	0.27	5.716
5.762	0.27	5.716
5.762	0.27	5.728
5.762	0.27	5.728
5.762	0.272	5.728
5.762	0.272	5.728
5.762	0.272	5.728
5.762	3.16	5.724
5.762	3.16	5.724
5.762	3.16	5.724
5.762	3.16	5.724
5.762	3.044	5.724
5.762	3.044	5.716
5.762	3.044	5.716
5.762	3.044	5.716
5.762	3.044	5.716
0.228	3.006	5.716
0.228	3.006	0.28
0.228	3.006	0.28
0.228	3.006	0.28
0.228	3.006	0.28
0.228	3	0.28
0.228	3	0.278
0.228	3	0.278
0.228	3	0.278
0.228	3	0.278
0.23	2.998	0.278
0.23	2.998	0.276
0.23	2.998	0.276
0.23	2.998	0.276
0.23	2.998	0.276
0.226	3	0.276
0.226	3	0.274
0.226	3	0.274
0.226	3	0.274
0.226	3	0.274
0.226	0.272	0.274
0.226	0.272	0.278
0.226	0.272	0.278
0.226	0.272	0.278
0.226	0.272	0.278
0.228	0.272	0.278
0.228	0.272	0.278
0.228	0.272	0.278
0.228	0.272	0.278
0.228	0.272	0.278
0.23	0.272	0.278
0.23	0.272	0.278
0.23	0.272	0.278
0.23	0.272	0.278
0.23	0.272	0.278
0.228	0.272	0.278
0.228	0.272	0.276
0.228	0.272	0.276
0.228	0.272	0.276
0.228	0.272	0.276
0.226	0.272	0.276
0.226	0.27	0.278
0.226	0.27	0.278
0.226	0.27	0.278
0.226	0.27	0.278
0.228	0.27	0.278
0.228	0.27	0.276
0.228	0.274	0.276
0.228	0.274	4.718
0.228	0.274	4.718
0.228	0.274	4.718
0.228	0.274	4.718
0.228	0.274	4.718
0.228	0.274	5.846
0.228	0.274	5.846
0.228	0.274	5.846
3.78	0.272	5.846
3.78	0.272	5.768
5.986	0.272	5.768
5.986	0.272	5.768
5.986	0.272	5.768
